material_id,cnc_num,load_start_time,unload_start_time
1,1,00:00:00,00:10:34
2,2,00:00:28,00:11:55
3,3,00:01:19,00:14:13
4,4,00:01:47,00:00:00
5,5,00:02:38,00:15:54
6,6,00:03:06,00:17:15
7,7,00:03:57,00:19:02
8,8,00:04:25,00:20:23
9,1,00:11:27,00:22:36
10,2,00:12:51,00:23:57
11,4,00:13:42,00:27:05
12,3,00:15:06,00:25:44
13,5,00:16:47,00:28:52
14,6,00:18:11,00:30:13
15,7,00:19:55,00:32:00
16,8,00:21:19,00:33:21
17,1,00:23:29,00:35:34
18,2,00:24:53,00:36:55
19,3,00:26:37,00:38:42
20,4,00:28:01,00:40:03
21,5,00:29:45,00:41:50
22,6,00:31:09,00:43:11
23,7,00:32:53,00:44:58
24,8,00:34:17,00:46:19
25,1,00:36:27,00:48:32
26,2,00:37:51,00:49:53
27,3,00:39:35,00:51:40
28,4,00:40:59,00:53:01
29,5,00:42:43,00:54:48
30,6,00:44:07,00:56:09
31,7,00:45:51,00:57:56
32,8,00:47:15,00:59:17
33,1,00:49:25,01:01:30
34,2,00:50:49,01:02:51
35,3,00:52:33,01:04:38
36,4,00:53:57,01:05:59
37,5,00:55:41,01:07:46
38,6,00:57:05,01:09:07
39,7,00:58:49,01:10:54
40,8,01:00:13,01:12:15
41,1,01:02:23,01:14:28
42,2,01:03:47,01:15:49
43,3,01:05:31,01:17:36
44,4,01:06:55,01:18:57
45,5,01:08:39,01:20:44
46,6,01:10:03,01:22:05
47,7,01:11:47,01:23:52
48,8,01:13:11,01:25:13
49,1,01:15:21,01:27:26
50,2,01:16:45,01:28:47
51,3,01:18:29,01:30:34
52,4,01:19:53,01:31:55
53,5,01:21:37,01:33:42
54,6,01:23:01,01:35:03
55,7,01:24:45,01:36:50
56,8,01:26:09,01:38:11
57,1,01:28:19,01:40:24
58,2,01:29:43,01:41:45
59,3,01:31:27,01:43:32
60,4,01:32:51,01:44:53
61,5,01:34:35,01:46:40
62,6,01:35:59,01:48:01
63,7,01:37:43,01:49:48
64,8,01:39:07,01:51:09
65,1,01:41:17,01:53:22
66,2,01:42:41,01:54:43
67,3,01:44:25,01:56:30
68,4,01:45:49,01:57:51
69,5,01:47:33,01:59:38
70,6,01:48:57,02:00:59
71,7,01:50:41,02:02:46
72,8,01:52:05,02:04:07
73,1,01:54:15,02:06:20
74,2,01:55:39,02:07:41
75,3,01:57:23,02:09:28
76,4,01:58:47,02:10:49
77,5,02:00:31,02:12:36
78,6,02:01:55,02:13:57
79,7,02:03:39,02:15:44
80,8,02:05:03,02:17:05
81,1,02:07:13,02:19:18
82,2,02:08:37,02:20:39
83,3,02:10:21,02:22:26
84,4,02:11:45,02:23:47
85,5,02:13:29,02:25:34
86,6,02:14:53,02:26:55
87,7,02:16:37,02:28:42
88,8,02:18:01,02:30:03
89,1,02:20:11,02:32:16
90,2,02:21:35,02:33:37
91,3,02:23:19,02:35:24
92,4,02:24:43,02:36:45
93,5,02:26:27,02:38:32
94,6,02:27:51,02:39:53
95,7,02:29:35,02:41:40
96,8,02:30:59,02:43:01
97,1,02:33:09,02:45:14
98,2,02:34:33,02:46:35
99,3,02:36:17,02:48:22
100,4,02:37:41,02:49:43
101,5,02:39:25,02:51:30
102,6,02:40:49,02:52:51
103,7,02:42:33,02:54:38
104,8,02:43:57,02:55:59
105,1,02:46:07,02:58:12
106,2,02:47:31,02:59:33
107,3,02:49:15,03:01:20
108,4,02:50:39,03:02:41
109,5,02:52:23,03:04:28
110,6,02:53:47,03:05:49
111,7,02:55:31,03:07:36
112,8,02:56:55,03:08:57
113,1,02:59:05,03:11:10
114,2,03:00:29,03:12:31
115,3,03:02:13,03:14:18
116,4,03:03:37,03:15:39
117,5,03:05:21,03:17:26
118,6,03:06:45,03:18:47
119,7,03:08:29,03:20:34
120,8,03:09:53,03:21:55
121,1,03:12:03,03:24:08
122,2,03:13:27,03:25:29
123,3,03:15:11,03:27:16
124,4,03:16:35,03:28:37
125,5,03:18:19,03:30:24
126,6,03:19:43,03:31:45
127,7,03:21:27,03:33:32
128,8,03:22:51,03:34:53
129,1,03:25:01,03:37:06
130,2,03:26:25,03:38:27
131,3,03:28:09,03:40:14
132,4,03:29:33,03:41:35
133,5,03:31:17,03:43:22
134,6,03:32:41,03:44:43
135,7,03:34:25,03:46:30
136,8,03:35:49,03:47:51
137,1,03:37:59,03:50:04
138,2,03:39:23,03:51:25
139,3,03:41:07,03:53:12
140,4,03:42:31,03:54:33
141,5,03:44:15,03:56:20
142,6,03:45:39,03:57:41
143,7,03:47:23,03:59:28
144,8,03:48:47,04:00:49
145,1,03:50:57,04:03:02
146,2,03:52:21,04:04:23
147,3,03:54:05,04:06:10
148,4,03:55:29,04:07:31
149,5,03:57:13,04:09:18
150,6,03:58:37,04:10:39
151,7,04:00:21,04:12:26
152,8,04:01:45,04:13:47
153,1,04:03:55,04:16:00
154,2,04:05:19,04:17:21
155,3,04:07:03,04:19:08
156,4,04:08:27,00:00:00
157,5,04:10:11,04:21:20
158,6,04:11:35,04:22:41
159,7,04:13:19,04:24:28
160,8,04:14:43,04:25:49
161,1,04:16:53,04:28:02
162,2,04:18:17,04:29:23
163,3,04:20:01,04:31:10
164,4,04:20:29,04:32:31
165,5,04:22:13,04:34:18
166,6,04:23:37,04:35:39
167,7,04:25:21,04:37:26
168,8,04:26:45,04:38:47
169,1,04:28:55,04:41:00
170,2,04:30:19,04:42:21
171,3,04:32:03,04:44:08
172,4,04:33:27,04:45:29
173,5,04:35:11,04:47:16
174,6,04:36:35,04:48:37
175,7,04:38:19,04:50:24
176,8,04:39:43,04:51:45
177,1,04:41:53,04:53:58
178,2,04:43:17,04:55:19
179,3,04:45:01,04:57:06
180,4,04:46:25,04:58:27
181,5,04:48:09,05:00:14
182,6,04:49:33,05:01:35
183,7,04:51:17,05:03:22
