material_id,cnc_num,load_raw_start,unload_half_start,load_half_start,unload_pipe_start
1,1,0:00:00,0:07:57,0:08:28,0:16:00
2,3,0:00:51,0:09:47,0:10:18,0:18:43
3,5,0:01:42,0:11:37,0:12:08,0:21:26
4,7,0:02:33,0:13:27,0:13:58,0:24:09
5,1,0:08:56,0:16:53,0:17:24,0:27:18
6,3,0:10:46,0:19:36,0:20:07,0:30:01
7,5,0:12:36,0:22:19,0:22:50,0:32:44
8,7,0:14:26,0:25:02,0:25:33,0:35:27
9,1,0:17:52,0:28:11,0:28:42,0:38:36
10,3,0:20:35,0:30:54,0:31:25,0:41:19
11,5,0:23:18,0:33:37,0:34:08,0:44:02
12,7,0:26:01,0:36:20,0:36:51,0:46:45
13,1,0:29:10,0:39:29,0:40:00,0:49:54
14,3,0:31:53,0:42:12,0:42:43,0:52:37
15,5,0:34:36,0:44:55,0:45:26,0:55:20
16,7,0:37:19,0:47:38,0:48:09,0:58:03
17,1,0:40:28,0:50:47,0:51:18,1:01:12
18,3,0:43:11,0:53:30,0:54:01,1:03:55
19,5,0:45:54,0:56:13,0:56:44,1:06:38
20,7,0:48:37,0:58:56,0:59:27,1:09:21
21,1,0:51:46,1:02:05,1:02:36,1:12:30
22,3,0:54:29,1:04:48,1:05:19,1:15:13
23,5,0:57:12,1:07:31,1:08:02,1:17:56
24,7,0:59:55,1:10:14,1:10:45,1:20:39
25,1,1:03:04,1:13:23,1:13:54,1:23:48
26,3,1:05:47,1:16:06,1:16:37,1:26:31
27,5,1:08:30,1:18:49,1:19:20,1:29:14
28,7,1:11:13,1:21:32,1:22:03,1:31:57
29,1,1:14:22,1:24:41,1:25:12,1:35:06
30,3,1:17:05,1:27:24,1:27:55,1:37:49
31,5,1:19:48,1:30:07,1:30:38,1:40:32
32,7,1:22:31,1:32:50,1:33:21,1:43:15
33,1,1:25:40,1:35:59,1:36:30,1:46:24
34,3,1:28:23,1:38:42,1:39:13,1:49:07
35,5,1:31:06,1:41:25,1:41:56,1:51:50
36,7,1:33:49,1:44:08,1:44:39,1:54:33
37,1,1:36:58,1:47:17,1:47:48,1:57:42
38,3,1:39:41,1:50:00,1:50:31,2:00:25
39,5,1:42:24,1:52:43,1:53:14,2:03:08
40,7,1:45:07,1:55:26,1:55:57,2:05:51
41,1,1:48:16,1:58:35,1:59:06,0:00:00
42,3,1:50:59,2:01:18,2:01:49,2:09:08
43,5,1:53:42,2:04:01,2:04:32,2:13:54
44,7,1:56:25,2:06:44,2:07:15,2:16:37
45,1,1:59:34,2:11:51,2:12:22,2:22:16
46,3,2:02:17,2:10:01,2:10:32,2:19:33
47,5,2:05:00,2:14:47,2:15:18,2:25:12
48,7,2:07:43,2:17:30,2:18:01,2:27:55
49,3,2:11:00,2:20:26,2:20:57,2:30:51
50,1,2:12:50,2:23:09,2:23:40,2:33:34
51,5,2:15:46,2:26:05,2:26:36,2:36:30
52,7,2:18:29,2:28:48,2:29:19,2:39:13
53,3,2:21:25,2:31:44,2:32:15,2:42:09
54,1,2:24:08,2:34:27,2:34:58,2:44:52
55,5,2:27:04,2:37:23,2:37:54,2:47:48
56,7,2:29:47,2:40:06,2:40:37,2:50:31
57,3,2:32:43,2:43:02,2:43:33,2:53:27
58,1,2:35:26,2:45:45,2:46:16,0:00:00
59,5,2:38:22,2:48:41,2:49:12,2:56:18
60,7,2:41:05,2:51:24,2:51:55,2:59:01
61,3,2:44:01,2:54:20,2:54:51,3:04:00
62,1,2:46:44,3:02:10,3:02:41,3:12:35
63,5,2:49:40,2:57:11,2:57:42,3:06:43
64,7,2:52:23,2:59:54,3:00:25,3:09:26
65,3,2:55:19,3:04:53,3:05:24,3:15:18
66,5,2:58:10,3:07:36,3:08:07,3:18:01
67,7,3:00:53,3:10:19,3:10:50,3:20:44
68,1,3:03:09,3:13:28,3:13:59,3:23:53
69,3,3:05:52,3:16:11,3:16:42,3:26:36
70,5,3:08:35,3:18:54,3:19:25,3:29:19
71,7,3:11:18,3:21:37,3:22:08,3:32:02
72,1,3:14:27,3:24:46,3:25:17,3:35:11
73,3,3:17:10,3:27:29,3:28:00,3:37:54
74,5,3:19:53,3:30:12,3:30:43,3:40:37
75,7,3:22:36,3:32:55,3:33:26,3:43:20
76,1,3:25:45,3:36:04,3:36:35,3:46:29
77,3,3:28:28,3:38:47,3:39:18,3:49:12
78,5,3:31:11,3:41:30,3:42:01,3:51:55
79,7,3:33:54,3:44:13,3:44:44,3:54:38
80,1,3:37:03,3:47:22,3:47:53,3:57:47
81,3,3:39:46,3:50:05,3:50:36,4:00:30
82,5,3:42:29,3:52:48,3:53:19,4:03:13
83,7,3:45:12,3:55:31,3:56:02,4:05:56
84,1,3:48:21,3:58:40,3:59:11,4:09:05
85,3,3:51:04,4:01:23,4:01:54,4:10:18
86,5,3:53:47,4:04:06,4:04:37,4:14:05
87,7,3:56:30,4:06:49,4:07:20,4:16:48
88,2,3:59:39,0:00:00,0:00:00,0:00:00
89,3,4:02:22,4:11:11,4:11:42,4:19:01
90,5,4:05:05,4:14:58,4:15:29,4:23:47
91,8,4:07:48,0:00:00,0:00:00,0:00:00
92,3,4:12:10,4:19:54,4:20:25,4:27:44
93,1,4:13:01,4:21:44,4:22:15,4:30:27
94,5,4:15:57,4:24:40,4:25:11,4:33:23
95,3,4:20:53,4:28:37,4:29:08,4:38:09
96,1,4:22:43,4:31:20,4:31:51,4:40:52
97,5,4:25:39,4:34:16,4:34:47,4:43:48
98,7,4:26:30,4:36:06,4:36:37,4:46:31
99,3,4:29:36,4:39:02,4:39:33,4:49:27
100,1,4:32:19,4:41:45,4:42:16,4:52:10
101,5,4:35:15,4:44:41,4:45:12,4:55:06
102,7,4:37:05,4:47:24,4:47:55,4:57:49
103,3,4:40:01,4:50:20,4:50:51,5:00:45
104,1,4:42:44,4:53:03,4:53:34,5:03:28
105,5,4:45:40,4:55:59,4:56:30,5:06:24
106,7,4:48:23,4:58:42,4:59:13,5:09:07
107,3,4:51:19,5:01:38,5:02:09,5:12:03
108,1,4:54:02,5:04:21,5:04:52,5:14:46
109,5,4:56:58,5:07:17,5:07:48,5:17:42
110,7,4:59:41,5:10:00,5:10:31,5:20:25
111,3,5:02:37,5:12:56,5:13:27,5:23:21
112,1,5:05:20,5:15:39,5:16:10,5:26:04
113,5,5:08:16,5:18:35,5:19:06,5:29:00
114,7,5:10:59,5:21:18,5:21:49,5:31:43
115,3,5:13:55,5:24:14,5:24:45,5:34:39
116,1,5:16:38,5:26:57,5:27:28,5:37:22
117,5,5:19:34,5:29:53,5:30:24,5:40:18
118,7,5:22:17,5:32:36,5:33:07,5:43:01
119,3,5:25:13,5:35:32,5:36:03,5:45:57
120,1,5:27:56,5:38:15,5:38:46,5:48:40
121,5,5:30:52,5:41:11,5:41:42,5:51:36
122,7,5:33:35,5:43:54,5:44:25,5:54:19
123,3,5:36:31,5:46:50,5:47:21,5:57:15
124,1,5:39:14,5:49:33,5:50:04,5:59:58
125,5,5:42:10,5:52:29,5:53:00,6:02:54
126,7,5:44:53,5:55:12,5:55:43,6:05:37
127,3,5:47:49,5:58:08,5:58:39,6:08:33
128,1,5:50:32,6:00:51,6:01:22,6:11:16
129,5,5:53:28,6:03:47,6:04:18,6:14:12
130,7,5:56:11,6:06:30,6:07:01,6:16:55
131,3,5:59:07,6:09:26,6:09:57,6:19:51
132,1,6:01:50,6:12:09,6:12:40,6:22:34
133,5,6:04:46,6:15:05,6:15:36,6:25:30
134,7,6:07:29,6:17:48,6:18:19,6:28:13
135,3,6:10:25,6:20:44,6:21:15,6:31:09
136,1,6:13:08,6:23:27,6:23:58,6:33:52
137,5,6:16:04,6:26:23,6:26:54,6:36:48
138,7,6:18:47,6:29:06,6:29:37,0:00:00
139,3,6:21:43,6:32:02,6:32:33,6:39:39
140,1,6:24:26,6:34:45,6:35:16,6:42:22
141,5,6:27:22,6:37:41,6:38:12,6:47:21
142,7,6:30:05,6:45:31,6:46:02,6:55:56
143,3,6:33:01,6:40:32,6:41:03,6:50:04
