material_id,cnc_num,load_raw_start,unload_half_start,load_half_start,unload_pipe_start
30701,1,00:00:00,00:06:14,00:06:49,00:16:38
30702,3,00:00:58,00:08:17,00:08:52,00:19:41
30703,5,00:01:56,00:10:20,00:10:55,00:22:44
30704,7,00:02:54,00:12:23,00:12:58,00:25:47
30705,1,00:07:19,00:17:38,00:18:13,00:29:26
30706,3,00:09:22,00:20:41,00:21:16,00:32:29
30707,5,00:11:25,00:23:44,00:24:19,00:35:32
30708,7,00:13:28,00:26:47,00:27:22,00:38:35
30709,1,00:18:43,00:30:26,00:31:01,00:42:14
30710,3,00:21:46,00:33:29,00:34:04,00:45:17
30711,5,00:24:49,00:36:32,00:37:07,00:48:20
30712,7,00:27:52,00:39:35,00:40:10,00:51:23
30713,1,00:31:31,00:43:14,00:43:49,00:55:02
30714,3,00:34:34,00:46:17,00:46:52,00:58:05
30715,5,00:37:37,00:49:20,00:49:55,01:01:08
30716,7,00:40:40,00:52:23,00:52:58,01:04:11
30717,1,00:44:19,00:56:02,00:56:37,01:07:50
30718,3,00:47:22,00:59:05,00:59:40,01:10:53
30719,5,00:50:25,01:02:08,01:02:43,01:13:56
30720,7,00:53:28,01:05:11,01:05:46,01:16:59
30721,1,00:57:07,01:08:50,01:09:25,01:20:38
30722,3,01:00:10,01:11:53,01:12:28,01:23:41
30723,5,01:03:13,01:14:56,01:15:31,01:26:44
30724,7,01:06:16,01:17:59,01:18:34,01:29:47
30725,1,01:09:55,01:21:38,01:22:13,01:33:26
30726,3,01:12:58,01:24:41,01:25:16,01:36:29
30727,5,01:16:01,01:27:44,01:28:19,01:39:32
30728,7,01:19:04,01:30:47,01:31:22,01:42:35
30729,1,01:22:43,01:34:26,01:35:01,01:46:14
30730,3,01:25:46,01:37:29,01:38:04,01:49:17
30731,5,01:28:49,01:40:32,01:41:07,01:52:20
30732,7,01:31:52,01:43:35,01:44:10,01:55:23
30733,1,01:35:31,01:47:14,01:47:49,01:59:02
30734,3,01:38:34,01:50:17,01:50:52,02:02:05
30735,5,01:41:37,01:53:20,01:53:55,02:05:08
30736,7,01:44:40,01:56:23,01:56:58,02:08:11
30737,1,01:48:19,02:00:02,02:00:37,02:11:50
30738,3,01:51:22,02:03:05,02:03:40,02:14:53
30739,5,01:54:25,02:06:08,02:06:43,02:17:56
30740,7,01:57:28,02:09:11,02:09:46,02:20:59
30741,1,02:01:07,02:12:50,02:13:25,02:24:38
30742,3,02:04:10,02:15:53,02:16:28,02:27:41
30743,5,02:07:13,02:18:56,02:19:31,02:30:44
30744,7,02:10:16,02:21:59,02:22:34,02:33:47
30745,1,02:13:55,02:25:38,02:26:13,02:37:26
30746,3,02:16:58,02:28:41,02:29:16,02:40:29
30747,5,02:20:01,02:31:44,02:32:19,02:43:32
30748,7,02:23:04,02:34:47,02:35:22,02:46:35
30749,1,02:26:43,02:38:26,02:39:01,02:50:14
30750,3,02:29:46,02:41:29,02:42:04,02:53:17
30751,5,02:32:49,02:44:32,02:45:07,02:56:20
30752,7,02:35:52,02:47:35,02:48:10,02:59:23
30753,1,02:39:31,02:51:14,02:51:49,03:03:02
30754,3,02:42:34,02:54:17,02:54:52,03:06:05
30755,5,02:45:37,02:57:20,02:57:55,03:09:08
30756,7,02:48:40,03:00:23,03:00:58,03:12:11
30757,1,02:52:19,03:04:02,03:04:37,03:15:50
30758,3,02:55:22,03:07:05,03:07:40,03:18:53
30759,5,02:58:25,03:10:08,03:10:43,03:21:56
30760,7,03:01:28,03:13:11,03:13:46,03:24:59
30761,1,03:05:07,03:16:50,03:17:25,03:28:38
30762,3,03:08:10,03:19:53,03:20:28,03:31:41
30763,5,03:11:13,03:22:56,03:23:31,03:34:44
30764,7,03:14:16,03:25:59,03:26:34,03:37:47
30765,1,03:17:55,03:29:38,03:30:13,03:41:26
30766,3,03:20:58,03:32:41,03:33:16,03:44:29
30767,5,03:24:01,03:35:44,03:36:19,03:47:32
30768,7,03:27:04,03:38:47,03:39:22,03:50:35
30769,1,03:30:43,03:42:26,03:43:01,03:54:14
30770,3,03:33:46,03:45:29,03:46:04,03:57:17
30771,5,03:36:49,03:48:32,03:49:07,04:00:20
30772,7,03:39:52,03:51:35,03:52:10,04:03:23
30773,1,03:43:31,03:55:14,03:55:49,04:07:02
30774,3,03:46:34,03:58:17,03:58:52,04:10:05
30775,5,03:49:37,04:01:20,04:01:55,04:13:08
30776,7,03:52:40,04:04:23,04:04:58,04:16:11
30777,1,03:56:19,04:08:02,04:08:37,04:19:50
30778,3,03:59:22,04:11:05,04:11:40,04:22:53
30779,5,04:02:25,04:14:08,04:14:43,04:25:56
30780,7,04:05:28,04:17:11,04:17:46,04:28:59
30781,1,04:09:07,04:20:50,04:21:25,04:32:38
30782,3,04:12:10,04:23:53,04:24:28,04:35:41
30783,5,04:15:13,04:26:56,04:27:31,04:38:44
30784,7,04:18:16,04:29:59,04:30:34,04:41:47
30785,1,04:21:55,04:33:38,04:34:13,04:45:26
30786,3,04:24:58,04:36:41,04:37:16,04:48:29
30787,5,04:28:01,04:39:44,04:40:19,04:51:32
30788,7,04:31:04,04:42:47,04:43:22,04:54:35
30789,1,04:34:43,04:46:26,04:47:01,04:58:14
30790,3,04:37:46,04:49:29,04:50:04,05:01:17
30791,5,04:40:49,04:52:32,04:53:07,05:04:20
30792,7,04:43:52,04:55:35,04:56:10,05:07:23
30793,1,04:47:31,04:59:14,04:59:49,05:11:02
30794,3,04:50:34,05:02:17,05:02:52,05:14:05
30795,5,04:53:37,05:05:20,05:05:55,05:17:08
30796,7,04:56:40,05:08:23,05:08:58,05:20:11
30797,1,05:00:19,05:12:02,05:12:37,05:23:50
30798,3,05:03:22,05:15:05,05:15:40,05:26:53
30799,5,05:06:25,05:18:08,05:18:43,05:29:56
30800,7,05:09:28,05:21:11,05:21:46,05:32:59
30801,1,05:13:07,05:24:50,05:25:25,05:36:38
30802,3,05:16:10,05:27:53,05:28:28,05:39:41
30803,5,05:19:13,05:30:56,05:31:31,05:42:44
30804,7,05:22:16,05:33:59,05:34:34,05:45:47
30805,1,05:25:55,05:37:38,05:38:13,05:49:26
30806,3,05:28:58,05:40:41,05:41:16,05:52:29
30807,5,05:32:01,05:43:44,05:44:19,05:55:32
30808,7,05:35:04,05:46:47,05:47:22,05:58:35
30809,1,05:38:43,05:50:26,05:51:01,06:02:14
30810,3,05:41:46,05:53:29,05:54:04,06:05:17
30811,5,05:44:49,05:56:32,05:57:07,06:08:20
30812,7,05:47:52,05:59:35,06:00:10,06:11:23
30813,1,05:51:31,06:03:14,06:03:49,06:15:02
30814,3,05:54:34,06:06:17,06:06:52,06:18:05
30815,5,05:57:37,06:09:20,06:09:55,06:21:08
30816,7,06:00:40,06:12:23,06:12:58,06:24:11
30817,1,06:04:19,06:16:02,06:16:37,06:27:50
30818,3,06:07:22,06:19:05,06:19:40,06:30:53
30819,5,06:10:25,06:22:08,06:22:43,06:33:56
30820,7,06:13:28,06:25:11,06:25:46,06:36:59
30821,1,06:17:07,06:28:50,06:29:25,06:40:38
30822,3,06:20:10,06:31:53,06:32:28,06:43:41
30823,5,06:23:13,06:34:56,06:35:31,06:46:44
30824,7,06:26:16,06:37:59,06:38:34,06:49:47
30825,1,06:29:55,06:41:38,06:42:13,06:53:26
30826,3,06:32:58,06:44:41,06:45:16,06:56:29
30827,5,06:36:01,06:47:44,06:48:19,06:59:32
30828,7,06:39:04,06:50:47,06:51:22,07:02:35
30829,1,06:42:43,06:54:26,06:55:01,07:06:14
30830,3,06:45:46,06:57:29,06:58:04,07:09:17
30831,5,06:48:49,07:00:32,07:01:07,07:12:20
30832,7,06:51:52,07:03:35,07:04:10,07:15:23
30833,1,06:55:31,07:07:14,07:07:49,07:19:02
30834,3,06:58:34,07:10:17,07:10:52,07:22:05
30835,5,07:01:37,07:13:20,07:13:55,07:25:08
30836,7,07:04:40,07:16:23,07:16:58,07:28:11
30837,1,07:08:19,07:20:02,07:20:37,07:31:50
30838,3,07:11:22,07:23:05,07:23:40,07:34:53
30839,5,07:14:25,07:26:08,07:26:43,07:37:56
30840,7,07:17:28,07:29:11,07:29:46,07:40:59
30841,1,07:21:07,07:32:50,07:33:25,07:44:38
30842,3,07:24:10,07:35:53,07:36:28,07:47:41
30843,5,07:27:13,07:38:56,07:39:31,07:50:44
30844,7,07:30:16,07:41:59,07:42:34,07:53:47
30845,1,07:33:55,07:45:38,07:46:13,07:57:26
30846,3,07:36:58,07:48:41,07:49:16,00:00:00
30847,5,07:40:01,07:51:44,07:52:19,00:00:00
30848,7,07:43:04,07:54:47,07:55:22,00:00:00
30849,1,07:46:43,07:58:26,07:59:01,00:00:00
