material_id,cnc_num,load_start_time,unload_start_time
1,1,00:00:00,00:11:09
2,2,00:00:30,00:12:39
3,3,00:01:28,00:14:42
4,4,00:01:58,00:16:12
5,5,00:02:56,00:18:15
6,6,00:03:26,00:19:45
7,7,00:04:24,00:21:48
8,8,00:04:54,00:23:18
9,1,00:12:09,00:25:57
10,2,00:13:44,00:27:27
11,3,00:15:42,00:29:30
12,4,00:17:17,00:31:00
13,5,00:19:15,00:33:03
14,6,00:20:50,00:34:33
15,7,00:22:48,00:36:36
16,8,00:24:23,00:38:06
17,1,00:26:57,00:40:45
18,2,00:28:32,00:42:15
19,3,00:30:30,00:44:18
20,4,00:32:05,00:45:48
21,5,00:34:03,00:47:51
22,6,00:35:38,00:49:21
23,7,00:37:36,00:51:24
24,8,00:39:11,00:52:54
25,1,00:41:45,00:55:33
26,2,00:43:20,00:57:03
27,3,00:45:18,00:59:06
28,4,00:46:53,01:00:36
29,5,00:48:51,01:02:39
30,6,00:50:26,01:04:09
31,7,00:52:24,01:06:12
32,8,00:53:59,01:07:42
33,1,00:56:33,01:10:21
34,2,00:58:08,01:11:51
35,3,01:00:06,01:13:54
36,4,01:01:41,01:15:24
37,5,01:03:39,01:17:27
38,6,01:05:14,01:18:57
39,7,01:07:12,01:21:00
40,8,01:08:47,01:22:30
41,1,01:11:21,01:25:09
42,2,01:12:56,01:26:39
43,3,01:14:54,01:28:42
44,4,01:16:29,01:30:12
45,5,01:18:27,01:32:15
46,6,01:20:02,01:33:45
47,7,01:22:00,01:35:48
48,8,01:23:35,01:37:18
49,1,01:26:09,01:39:57
50,2,01:27:44,01:41:27
51,3,01:29:42,01:43:30
52,4,01:31:17,01:45:00
53,5,01:33:15,01:47:03
54,6,01:34:50,01:48:33
55,7,01:36:48,01:50:36
56,8,01:38:23,01:52:06
57,1,01:40:57,01:54:45
58,2,01:42:32,01:56:15
59,3,01:44:30,01:58:18
60,4,01:46:05,01:59:48
61,5,01:48:03,02:01:51
62,6,01:49:38,02:03:21
63,7,01:51:36,02:05:24
64,8,01:53:11,02:06:54
65,1,01:55:45,02:09:33
66,2,01:57:20,02:11:03
67,3,01:59:18,02:13:06
68,4,02:00:53,02:14:36
69,5,02:02:51,02:16:39
70,6,02:04:26,02:18:09
71,7,02:06:24,02:20:12
72,8,02:07:59,02:21:42
73,1,02:10:33,02:24:21
74,2,02:12:08,02:25:51
75,3,02:14:06,02:27:54
76,4,02:15:41,02:29:24
77,5,02:17:39,02:31:27
78,6,02:19:14,02:32:57
79,7,02:21:12,02:35:00
80,8,02:22:47,02:36:30
81,1,02:25:21,02:39:09
82,2,02:26:56,02:40:39
83,3,02:28:54,02:42:42
84,4,02:30:29,02:44:12
85,5,02:32:27,02:46:15
86,6,02:34:02,02:47:45
87,7,02:36:00,02:49:48
88,8,02:37:35,02:51:18
89,1,02:40:09,02:53:57
90,2,02:41:44,02:55:27
91,3,02:43:42,02:57:30
92,4,02:45:17,02:59:00
93,5,02:47:15,03:01:03
94,6,02:48:50,03:02:33
95,7,02:50:48,03:04:36
96,8,02:52:23,03:06:06
97,1,02:54:57,03:08:45
98,2,02:56:32,03:10:15
99,3,02:58:30,03:12:18
100,4,03:00:05,03:13:48
101,5,03:02:03,03:15:51
102,6,03:03:38,03:17:21
103,7,03:05:36,03:19:24
104,8,03:07:11,03:20:54
105,1,03:09:45,03:23:33
106,2,03:11:20,03:25:03
107,3,03:13:18,03:27:06
108,4,03:14:53,03:28:36
109,5,03:16:51,03:30:39
110,6,03:18:26,03:32:09
111,7,03:20:24,03:34:12
112,8,03:21:59,03:35:42
113,1,03:24:33,03:38:21
114,2,03:26:08,03:39:51
115,3,03:28:06,03:41:54
116,4,03:29:41,03:43:24
117,5,03:31:39,03:45:27
118,6,03:33:14,03:46:57
119,7,03:35:12,03:49:00
120,8,03:36:47,03:50:30
121,1,03:39:21,03:53:09
122,2,03:40:56,03:54:39
123,3,03:42:54,03:56:42
124,4,03:44:29,03:58:12
125,5,03:46:27,04:00:15
126,6,03:48:02,04:01:45
127,7,03:50:00,04:03:48
128,8,03:51:35,04:05:18
129,1,03:54:09,04:07:57
130,2,03:55:44,04:09:27
131,3,03:57:42,04:11:30
132,4,03:59:17,04:13:00
133,5,04:01:15,04:15:03
134,6,04:02:50,04:16:33
135,7,04:04:48,04:18:36
136,8,04:06:23,04:20:06
137,1,04:08:57,04:22:45
138,2,04:10:32,04:24:15
139,3,04:12:30,04:26:18
140,4,04:14:05,04:27:48
141,5,04:16:03,04:29:51
142,6,04:17:38,04:31:21
143,7,04:19:36,04:33:24
144,8,04:21:11,04:34:54
145,1,04:23:45,04:37:33
146,2,04:25:20,04:39:03
147,3,04:27:18,04:41:06
